# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], M_C [m], sealTot [kg], boundTot [kg]
5.093210664e9, 4.119474201208736e7, 3.531867120835383e7, 3.22644180383577e7, 206029.98634882714, 1.8877459842950562e6, 114457.16337789116, 1.5699441691768304e6, 56960.36610984938, 1.1916227689934385e6, 6.956560416111797, NaN, 286359.0634618536, 3.9056862393775478
5.124767616e9, 4.1191558617440134e7, 3.5315184826255664e7, 3.2315622651320122e7, 204533.79604466658, 1.890998835413954e6, 114455.29905473805, 1.5657191521814943e6, 59084.545699635215, 1.1947230655591022e6, 7.017388427280994, NaN, 286343.4635945856, 3.905706584675954
5.148335808e9, 4.1188333220576026e7, 3.5311658870960064e7, 3.236334013763097e7, 203030.5926414394, 1.8974657705309005e6, 114453.4900340565, 1.6042141939495786e6, 18338.208497338117, 1.1978112654033524e6, 7.0747547864212565, NaN, 286327.6795764474, 3.9057260337852324
5.171904e9, 4.1185878712851875e7, 3.530898009817845e7, 3.2396706567919504e7, 201903.15351655736, 1.9040749168743812e6, 114452.17834233324, 1.601770836791803e6, 18929.785945270105, 1.2001973934874206e6, 7.1152402412012945, NaN, 286315.78193634824, 3.9057400548159813
5.203460952e9, 4.1183364586814635e7, 3.5306246777500935e7, 3.2428477986457746e7, 200771.9574571305, 1.9125083866069901e6, 114450.89488575171, 1.5991642641289267e6, 19493.866915874478, 1.2026891931849718e6, 7.15276619966572, NaN, 286303.74766246474, 3.905753545780002
5.235017904e9, 4.117990508832334e7, 3.5302503059377566e7, 3.2467646709980108e7, 201600.32632392916, 1.9245225626043326e6, 114449.39767809013, 1.5955595056507424e6, 20203.947163083503, 1.2060371324420962e6, 7.1985633145269805, NaN, 286287.632032877, 3.905770837113991
5.266574856e9, 4.117656927249745e7, 3.529894551725075e7, 3.2504575885683704e7, 211394.39955114326, 1.9291976594092564e6, 114447.96499452091, 1.5919224583923118e6, 20873.654270751096, 1.2093328301174843e6, 7.243709717786695, NaN, 286271.8212846259, 3.905787999590709
5.298131808e9, 4.117338498312777e7, 3.529558474185436e7, 3.2536591179005522e7, 221168.8947094499, 1.9385811627137628e6, 114446.4958599799, 1.5882997467325723e6, 21504.14600649585, 1.212517040170478e6, 7.2829717094250945, NaN, 286255.7737683434, 3.9058044019873557
5.32968876e9, 4.117022845234978e7, 3.529219975025052e7, 3.2564939773732577e7, 234291.1113823365, 1.9479513347285027e6, 114445.00921548432, 1.58471979751018e6, 22095.708775680734, 1.2155719290027e6, 7.3185814690932816, NaN, 286239.5634182317, 3.905820199050697
5.361245712e9, 4.116715754038104e7, 3.528890460608821e7, 3.2637748923138577e7, 206586.0142509927, 1.9532618390213312e6, 114443.56256856014, 1.581195263353201e6, 22649.851338741624, 1.2185031383900023e6, 7.354352406228834, NaN, 286223.61169653723, 3.9058358282847223
5.392802664e9, 4.11642022689916e7, 3.52857300367757e7, 3.2672874485056322e7, 219632.90120950917, 1.954989398407854e6, 114442.16968034804, 1.5777247650909598e6, 23167.205323448507, 1.22132186341787e6, 7.39155652967047, NaN, 286207.8965955517, 3.905851188434269
5.424359616e9, 4.116134397451384e7, 3.528265638532634e7, 3.2705965062774498e7, 234220.70175231068, 1.9567903380638822e6, 114440.80243435847, 1.5742857987992251e6, 23647.880214901114, 1.2240516780739652e6, 7.428970650433369, NaN, 286192.52914247714, 3.9058660686183106
5.447927808e9, 4.115855721565759e7, 3.527965729727612e7, 3.2737477177355412e7, 249906.24396375503, 1.9586650729360487e6, 114439.44789214783, 1.4901082481383942e6, 104786.16802822935, 1.2267708191700492e6, 7.465757014987418, NaN, 286177.54734878597, 3.9058804667563587
5.471496e9, 4.115650724431241e7, 3.527745125742138e7, 3.276027969337699e7, 262087.28394693413, 1.960107195874578e6, 114438.43926398436, 1.4879930220212578e6, 104584.79169379029, 1.2287983683000323e6, 7.492595595977939, NaN, 286166.34477019444, 3.905890953502122
5.503052952e9, 4.115449183735998e7, 3.5275283730728544e7, 3.28310237870809e7, 226135.31713978632, 1.9615900327089338e6, 114437.4367044268, 1.4859281629905785e6, 104289.79650689277, 1.230822207640944e6, 7.519072681989015, NaN, 286155.16802697495, 3.905901228727548
